GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
53001950100,2000,9501,"Adams County, Washington",2547.0,14.83,278.0,27.02,409.0,36360.0,79800.0,26.0,94.58,0.24,2.71,0.55,0.51,0.0,1.37,0.04,3.0,0.0,0.0,1.08,0,0,0
53001950100,2001,9501,"Adams County, Washington",2547.0,14.83,280.0,27.02,409.0,36360.0,79800.0,26.0,94.58,0.24,2.71,0.55,0.51,0.0,1.37,0.04,7.0,2.0,0.72,2.5,0,0,0
53001950100,2002,9501,"Adams County, Washington",2547.0,14.83,281.0,27.02,409.0,36360.0,79800.0,26.0,94.58,0.24,2.71,0.55,0.51,0.0,1.37,0.04,1.0,0.0,0.0,0.36,1,0,0
53001950100,2003,9501,"Adams County, Washington",2547.0,14.83,283.0,27.02,409.0,36360.0,79800.0,26.0,94.58,0.24,2.71,0.55,0.51,0.0,1.37,0.04,6.0,6.0,2.12,2.12,0,0,0
53001950100,2004,9501,"Adams County, Washington",2547.0,14.83,284.0,27.02,409.0,36360.0,79800.0,26.0,94.58,0.24,2.71,0.55,0.51,0.0,1.37,0.04,4.0,4.0,1.41,1.41,0,0,0
53001950100,2005,9501,"Adams County, Washington",2504.0,6.61,286.0,25.92,552.0,43854.0,113000.0,24.2,92.17,1.08,3.15,1.36,0.0,0.0,2.24,0.0,7.0,4.0,1.4,2.45,0,0,0
53001950100,2006,9501,"Adams County, Washington",2504.0,6.61,287.0,25.92,552.0,43854.0,113000.0,24.2,92.17,1.08,3.15,1.36,0.0,0.0,2.24,0.0,3.0,1.0,0.35,1.05,0,0,0
53001950100,2007,9501,"Adams County, Washington",2504.0,6.61,289.0,25.92,552.0,43854.0,113000.0,24.2,92.17,1.08,3.15,1.36,0.0,0.0,2.24,0.0,5.0,1.0,0.35,1.73,1,0,0
53001950100,2008,9501,"Adams County, Washington",2504.0,6.61,290.0,25.92,552.0,43854.0,113000.0,24.2,92.17,1.08,3.15,1.36,0.0,0.0,2.24,0.0,2.0,1.0,0.34,0.69,1,0,0
53001950100,2009,9501,"Adams County, Washington",2504.0,6.61,292.0,25.92,552.0,43854.0,113000.0,24.2,92.17,1.08,3.15,1.36,0.0,0.0,2.24,0.0,2.0,2.0,0.69,0.69,0,0,0
53001950100,2010,9501,"Adams County, Washington",2447.0,8.15,293.0,28.15,545.0,44282.0,126500.0,32.7,92.77,0.08,4.58,0.94,0.37,0.0,1.27,0.0,2.0,1.0,0.34,0.68,1,0,0
53001950100,2011,9501,"Adams County, Washington",2395.0,8.28,298.0,32.05,640.0,47535.0,132600.0,24.9,91.32,0.17,4.68,0.38,0.17,0.0,3.3,0.0,2.0,1.0,0.34,0.67,1,0,0
53001950100,2012,9501,"Adams County, Washington",2395.0,8.28,303.0,32.05,640.0,47535.0,132600.0,24.9,91.32,0.17,4.68,0.38,0.17,0.0,3.3,0.0,1.0,1.0,0.33,0.33,1,0,0
53001950100,2013,9501,"Adams County, Washington",2395.0,8.28,308.0,32.05,640.0,47535.0,132600.0,24.9,91.32,0.17,4.68,0.38,0.17,0.0,3.3,0.0,1.0,1.0,0.33,0.33,1,0,0
53001950100,2014,9501,"Adams County, Washington",2395.0,8.28,312.0,32.05,640.0,47535.0,132600.0,24.9,91.32,0.17,4.68,0.38,0.17,0.0,3.3,0.0,0.0,0.0,0.0,0.0,1,0,0
53001950100,2015,9501,"Adams County, Washington",2395.0,8.28,317.0,32.05,640.0,47535.0,132600.0,24.9,91.32,0.17,4.68,0.38,0.17,0.0,3.3,0.0,2.0,2.0,0.63,0.63,1,0,0
53001950100,2016,9501,"Adams County, Washington",2395.0,8.28,322.0,32.05,640.0,47535.0,132600.0,24.9,91.32,0.17,4.68,0.38,0.17,0.0,3.3,0.0,1.0,1.0,0.31,0.31,1,1,0
53001950200,2000,9502,"Adams County, Washington",1895.0,12.35,236.0,32.96,452.0,38333.0,64400.01,18.9,87.18,0.11,10.18,0.42,0.26,0.05,1.79,0.0,1.0,1.0,0.42,0.42,0,0,0
53001950200,2001,9502,"Adams County, Washington",1895.0,12.35,233.0,32.96,452.0,38333.0,64400.01,18.9,87.18,0.11,10.18,0.42,0.26,0.05,1.79,0.0,0.0,0.0,0.0,0.0,0,0,0
53001950200,2002,9502,"Adams County, Washington",1895.0,12.35,231.0,32.96,452.0,38333.0,64400.01,18.9,87.18,0.11,10.18,0.42,0.26,0.05,1.79,0.0,0.0,0.0,0.0,0.0,1,0,0
53001950200,2003,9502,"Adams County, Washington",1895.0,12.35,228.0,32.96,452.0,38333.0,64400.01,18.9,87.18,0.11,10.18,0.42,0.26,0.05,1.79,0.0,1.0,1.0,0.44,0.44,0,0,0
53001950200,2004,9502,"Adams County, Washington",1895.0,12.35,226.0,32.96,452.0,38333.0,64400.01,18.9,87.18,0.11,10.18,0.42,0.26,0.05,1.79,0.0,2.0,1.0,0.44,0.89,0,0,0
53001950200,2005,9502,"Adams County, Washington",1858.0,14.78,223.0,29.49,673.0,42132.0,84400.02,21.0,81.11,0.0,13.29,0.75,0.0,0.0,4.84,0.0,1.0,0.0,0.0,0.45,0,0,0
53001950200,2006,9502,"Adams County, Washington",1858.0,14.78,220.0,29.49,673.0,42132.0,84400.02,21.0,81.11,0.0,13.29,0.75,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0,0,0
53001950200,2007,9502,"Adams County, Washington",1858.0,14.78,218.0,29.49,673.0,42132.0,84400.02,21.0,81.11,0.0,13.29,0.75,0.0,0.0,4.84,0.0,1.0,1.0,0.46,0.46,1,0,0
53001950200,2008,9502,"Adams County, Washington",1858.0,14.78,215.0,29.49,673.0,42132.0,84400.02,21.0,81.11,0.0,13.29,0.75,0.0,0.0,4.84,0.0,3.0,1.0,0.46,1.39,1,0,0
53001950200,2009,9502,"Adams County, Washington",1858.0,14.78,213.0,29.49,673.0,42132.0,84400.02,21.0,81.11,0.0,13.29,0.75,0.0,0.0,4.84,0.0,1.0,1.0,0.47,0.47,0,0,0
53001950200,2010,9502,"Adams County, Washington",1738.0,14.97,210.0,30.04,630.0,36371.0,86900.0,28.3,83.95,1.21,11.62,0.58,0.63,0.12,1.9,0.0,0.0,0.0,0.0,0.0,1,0,0
53001950200,2011,9502,"Adams County, Washington",1621.0,16.01,213.0,34.07,831.0,52500.0,87800.0,21.6,84.15,0.0,12.65,0.43,0.37,0.12,2.28,0.0,2.0,1.0,0.47,0.94,1,0,0
