tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
53001950100,53,WA,001,Adams County,950100,"1,023",10,277,3.6%,103,"1,073",9.6%,57,180,31.7%,5.9%,0.0%
53001950200,53,WA,001,Adams County,950200,720,5,102,4.9%,0,249,0.0%,29,66,43.9%,5.9%,0.0%
53001950300,53,WA,001,Adams County,950300,"1,618",3,171,1.8%,0,"1,626",0.0%,18,111,16.2%,5.9%,0.0%
53001950400,53,WA,001,Adams County,950400,819,8,234,3.4%,15,911,1.6%,45,152,29.6%,5.9%,0.0%
53001950500,53,WA,001,Adams County,950500,"1,037",16,402,4.0%,11,"1,264",0.9%,95,261,36.4%,5.9%,0.0%
53003980100,53,WA,003,Asotin County,980100,"1,411",10,680,1.5%,11,"1,069",1.0%,50,442,11.3%,6.2%,0.0%
53003980200,53,WA,003,Asotin County,980200,"1,757",13,655,2.0%,54,"2,008",2.7%,71,426,16.7%,6.2%,0.0%
53003980300,53,WA,003,Asotin County,980300,"1,643",14,383,3.7%,94,"1,686",5.6%,80,249,32.1%,6.2%,0.0%
53003980400,53,WA,003,Asotin County,980400,826,7,232,3.0%,62,"1,053",5.9%,38,151,25.2%,6.2%,0.0%
53003980500,53,WA,003,Asotin County,980500,"1,432",14,454,3.1%,61,"1,630",3.7%,79,295,26.8%,6.2%,0.0%
53003980600,53,WA,003,Asotin County,980600,"1,283",12,449,2.7%,56,"1,421",3.9%,67,292,22.9%,6.2%,0.0%
53005010100,53,WA,005,Benton County,010100,"1,834",5,646,0.8%,60,"1,898",3.2%,39,420,9.3%,4.8%,0.0%
53005010201,53,WA,005,Benton County,010201,"1,423",7,654,1.1%,43,"1,692",2.5%,51,425,12.0%,4.8%,0.0%
53005010202,53,WA,005,Benton County,010202,"2,698",10,540,1.9%,122,"3,077",4.0%,66,351,18.8%,4.8%,0.0%
53005010300,53,WA,005,Benton County,010300,"1,842",20,711,2.8%,73,"1,770",4.1%,126,462,27.3%,4.8%,0.0%
53005010400,53,WA,005,Benton County,010400,"1,460",19,568,3.3%,83,"1,562",5.3%,119,369,32.2%,4.8%,0.0%
53005010500,53,WA,005,Benton County,010500,"1,118",7,286,2.4%,55,"1,129",4.9%,48,186,25.8%,4.8%,0.0%
53005010600,53,WA,005,Benton County,010600,"1,441",10,523,1.9%,89,"1,860",4.8%,68,340,20.0%,4.8%,0.0%
53005010700,53,WA,005,Benton County,010700,"3,965",50,"2,774",1.8%,82,"5,053",1.6%,314,"1,803",17.4%,5.2%,0.0%
53005010801,53,WA,005,Benton County,010801,"2,785",33,"2,772",1.2%,4,"5,318",0.1%,221,"1,802",12.3%,5.1%,0.0%
53005010803,53,WA,005,Benton County,010803,"1,220",12,"1,371",0.9%,29,"2,689",1.1%,90,891,10.1%,4.8%,0.0%
53005010804,53,WA,005,Benton County,010804,"4,700",34,"2,891",1.2%,63,"7,023",0.9%,233,"1,879",12.4%,4.9%,0.0%
53005010901,53,WA,005,Benton County,010901,"1,992",13,432,3.0%,87,"2,341",3.7%,79,281,28.1%,5.1%,0.0%
53005010902,53,WA,005,Benton County,010902,"1,723",18,538,3.3%,29,"1,874",1.5%,109,350,31.1%,5.0%,0.0%
53005011001,53,WA,005,Benton County,011001,"1,986",17,728,2.3%,73,"2,141",3.4%,105,473,22.2%,5.1%,0.0%
53005011002,53,WA,005,Benton County,011002,"1,764",14,555,2.5%,65,"1,907",3.4%,89,361,24.7%,5.0%,0.0%
53005011100,53,WA,005,Benton County,011100,"2,367",40,"1,223",3.3%,71,"3,001",2.4%,245,795,30.8%,5.0%,0.0%
53005011200,53,WA,005,Benton County,011200,"2,601",21,505,4.2%,43,"2,632",1.6%,131,328,39.9%,5.0%,0.0%
53005011300,53,WA,005,Benton County,011300,"1,778",24,572,4.2%,158,"2,016",7.8%,145,372,39.0%,5.0%,0.0%
