Location,YEAR,SEATTLE,KENT,NORTH END,EAST SIDE,SW KING CO,WHITE CNTR,FEDERAL WAY,RENTON,NIGHT OWL BUSES,AUBURN,VASHON ISLAND,TOTAL
Benches,2016,46,2,2,1,5,NA,1,0,0,0,0,57
Parking Garages,2016,26,2,0,25,0,NA,0,1,0,0,0,54
Cars/Trucks,2016,914,42,53,85,161,NA,199,75,0,48,31,1608
Structures,2016,533,4,4,27,55,NA,2,18,0,3,7,653
Under Roadways,2016,257,2,2,8,4,NA,1,14,0,2,0,290
Doorways,2016,271,1,2,3,10,NA,3,7,0,0,0,297
City Parks,2016,24,0,3,0,0,NA,0,9,0,30,0,66
Bushes/Undergrowth,2016,37,60,3,9,2,NA,30,12,0,0,0,153
Bus Stops,2016,29,21,5,0,0,NA,8,1,0,0,0,64
Alleys,2016,32,9,0,0,0,NA,0,0,0,0,0,41
Walking Around,2016,494,14,10,15,13,NA,13,16,0,4,0,579
Other,2016,279,8,51,72,65,NA,6,7,132,23,0,643
TOTAL,2016,2942,165,135,245,315,NA,263,160,132,110,38,4505
Benches,2015,35,0,1,3,0,NA,1,0,0,0,0,40
Parking Garages,2015,31,0,0,11,0,NA,0,0,0,0,0,42
Cars/Trucks,2015,776,44,32,18,88,NA,81,37,0,54,8,1138
Structures,2015,641,11,8,2,38,NA,3,10,0,19,0,732
Under Roadways,2015,173,6,0,10,0,NA,0,7,0,4,0,200
Doorways,2015,306,3,0,1,4,NA,4,3,0,0,0,321
City Parks,2015,47,1,1,0,0,NA,0,2,0,10,0,61
Bushes/Undergrowth,2015,94,28,1,10,4,NA,6,6,0,31,0,180
Bus Stops,2015,32,1,0,1,2,NA,1,0,0,1,0,38
Alleys,2015,26,1,0,0,4,NA,0,0,0,0,0,31
Walking Around,2015,303,19,4,2,21,NA,8,6,0,11,1,375
Other,2015,349,21,1,76,48,NA,1,8,107,2,1,614
TOTAL,2015,2813,135,48,134,209,NA,105,79,107,132,10,3772
Benches,2014,51,2,0,0,NA,1,0,2,0,0,NA,56
Parking Garages,2014,14,0,0,0,NA,0,1,0,0,0,NA,15
